id;filtro;dadosassistencia;chave
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;like along
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;academics
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;intensely kookily present
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;alienated
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;necklace restfully
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;unlike
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;oof diversity
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;er deficient
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;creamy
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;probate knowingly onto
