id;filtro;dadosindicador;chave
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;croon
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;whether
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;boastfully within
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;unless restfully persecute
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;out eyeglasses
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;once so suffice
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;celebrate so flawless
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;by
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;juggernaut pish
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;private
